ID,Name,Category,Subcategory,Area,Price Range,isFeatured,Status,Has Insider Tip,Description (first 80 chars),KEEP? (yes/no),FEATURED? (yes/no),INSIDER PICK? (yes/no),BEST OF? (yes/no),Latitude,Longitude,TripAdvisor Rating,TripAdvisor Reviews,Hours,SEO Description,NOTES
b112,Gumbalimba Park,tours,Nature Park,West Bay,$$,YES,active,yes,"20-acre beachfront nature park in West Bay with Capuchin monkeys, macaws, exotic birds, a cave tour, and a 12-cable zipline course with suspension bridges. Immaculate grounds and experienced guides make this Roatan's must-visit family attraction.",yes,yes,no,no,16.2800,-86.5960,4.5,1525,Daily 8am–4pm,"20-acre beachfront nature park in West Bay with Capuchin monkeys, macaws, exotic birds, a cave tour, and a 12-cable zipline course with suspension bridges. Immaculate grounds and experienced guides make this Roatan's must-visit family attraction.",
b190,Half Moon Bay Beach,beaches,Public Beach,West End,$,YES,active,yes,"Beautiful crescent-shaped beach in the heart of West End with white sand, turquoise water, and reef snorkeling right from shore. Palm-fringed, calm, and walkable from every bar and dive shop in the village. The quintessential West End experience.",yes,no,no,no,16.3050,-86.5900,4.5,500,Open 24/7,"Beautiful crescent-shaped beach in the heart of West End with white sand, turquoise water, and reef snorkeling right from shore. Palm-fringed, calm, and walkable from every bar and dive shop in the village. The quintessential West End experience.",
b023,Hangover Hut,eat,Cafe,West Bay,$,no,active,yes,"Canadian-run West Bay beachfront spot famous for real-deal poutine, USDA burgers, donairs, and Philly cheese chicken. Live entertainment nightly. Comfort food done right on the Caribbean sand — because sometimes you need gravy with your ocean view.",yes,no,no,no,16.2785,-86.5968,4.7,487,Daily; hours vary,"Canadian-run West Bay beachfront spot famous for real-deal poutine, USDA burgers, donairs, and Philly cheese chicken. Live entertainment nightly. Comfort food done right on the Caribbean sand — because sometimes you need gravy with your ocean view.",
b035,Herby's Sports Bar & Grill,eat,American,French Harbour,$$,no,active,yes,"Arguably the best sports bar in Honduras. 34 HD TVs, a 10-foot screen, sports memorabilia museum, and a suspended scoreboard — all inside the Clarion Suites. Wings, pizza from $6, and ice-cold beers. NFL Sundays are electric.",yes,no,no,no,16.3345,-86.5155,4.1,334,Daily; game nights,"Arguably the best sports bar in Honduras. 34 HD TVs, a 10-foot screen, sports memorabilia museum, and a suspended scoreboard — all inside the Clarion Suites. Wings, pizza from $6, and ice-cold beers. NFL Sundays are electric.",
b148,Honduras Coffee Co.,shop,Gift Shop,West End,$,no,active,yes,"Premium Honduran single-origin coffee beans, gift sets, and brewing gear. Tours on coffee growing, harvesting, and roasting. Take home the taste of Honduras — some of the best specialty coffee in Central America, direct from the source.",yes,no,no,no,16.3086,-86.5521,,,Daily,"Premium Honduran single-origin coffee beans, gift sets, and brewing gear. Tours on coffee growing, harvesting, and roasting. Take home the taste of Honduras — some of the best specialty coffee in Central America, direct from the source.",
b122,Horseback Riding Roatan,tours,Horseback Riding,Sandy Bay,$$,no,active,yes,"Beach horseback riding along Sandy Bay's scenic shores with mangrove and ironshore views. Walk, trot, or gallop over secluded sand with the Caribbean on one side and palms on the other. From $55/person — perfect for first-timers and experienced riders.",yes,no,no,no,16.3200,-86.5650,4.5,100,Daily 1-hour rides; book ahead,"Beach horseback riding along Sandy Bay's scenic shores with mangrove and ironshore views. Walk, trot, or gallop over secluded sand with the Caribbean on one side and palms on the other. From $55/person — perfect for first-timers and experienced riders.",
b096,Infinity Bay Beach Party,nightlife,Beach Party,West Bay,$$,no,active,yes,"Sunday beach parties at Infinity Bay Resort with live bands, DJs spinning reggae and pop, dancing on the sand, and tropical cocktails. Day passes from $60 include beach access, showers, and WiFi. West Bay's best weekend scene.",yes,no,no,no,16.2770,-86.5980,,,Sunday afternoons,"Sunday beach parties at Infinity Bay Resort with live bands, DJs spinning reggae and pop, dancing on the sand, and tropical cocktails. Day passes from $60 include beach access, showers, and WiFi. West Bay's best weekend scene.",
b151,Infinity Bay Resort,stay,Resort,West Bay,$$$,YES,active,yes,"Premier West Bay resort with beachfront condos, multiple pools, a full dive center, and direct snorkeling from shore — swim with sea turtles steps from your room. Free breakfast, complimentary kayaks, and the island's most famous beach at your doorstep.",yes,yes,no,yes,16.2770,-86.5980,4.0,1013,24/7; Check-in 3pm,"Premier West Bay resort with beachfront condos, multiple pools, a full dive center, and direct snorkeling from shore — swim with sea turtles steps from your room. Free breakfast, complimentary kayaks, and the island's most famous beach at your doorstep.",
b079,Island Snorkel Tours,dive,Snorkel Tour,West Bay,$,no,active,yes,"Guided snorkel tours exploring the reef right off West Bay Beach — no diving experience needed. Tropical fish, sea turtles, eagle rays, and vibrant coral just 30 feet from shore. The easiest way to see Roatan's underwater world.",yes,no,no,no,16.2780,-86.5970,4.5,100,Daily,"Guided snorkel tours exploring the reef right off West Bay Beach — no diving experience needed. Tropical fish, sea turtles, eagle rays, and vibrant coral just 30 feet from shore. The easiest way to see Roatan's underwater world.",
b153,Kimpton Grand Roatan,stay,Hotel,West Bay,$$$,YES,active,yes,"West Bay's most upscale hotel — 122 rooms, four world-class restaurants, a tranquil spa, and a beachside infinity pool on the world's second-largest barrier reef. Couples rate it 9.4/10. Modern luxury meets Caribbean soul. From $181/night.",yes,yes,no,no,16.2780,-86.5970,4.0,1507,"24/7; Check-in 3pm, Check-out 11am","West Bay's most upscale hotel — 122 rooms, four world-class restaurants, a tranquil spa, and a beachside infinity pool on the world's second-largest barrier reef. Couples rate it 9.4/10. Modern luxury meets Caribbean soul. From $181/night.",
b024,La Placita,eat,Street Food,West Bay,$,no,active,yes,"Open-air collection of food stands in West Bay offering everything from pupusas to tacos to gelato. Multiple vendors, rock-bottom prices, and the casual street food vibe that makes Honduran eating so special. Perfect for a quick, cheap, authentic bite.",yes,no,no,no,16.2800,-86.5955,,,Daily; hours vary by vendor,"Open-air collection of food stands in West Bay offering everything from pupusas to tacos to gelato. Multiple vendors, rock-bottom prices, and the casual street food vibe that makes Honduran eating so special. Perfect for a quick, cheap, authentic bite.",
b127,Little French Key,tours,Boat Tour,French Harbour,$$$,YES,active,yes,"TripAdvisor's #1-ranked attraction in Roatan. Private island paradise with white sand, in-water palapa tables, a mini zoo, snorkeling, and the underwater Mayatlantis museum. Zero carbon footprint — wind power, rainwater collection. From $118 including lunch, drinks, and transport.",yes,yes,no,no,16.3300,-86.5200,4.8,2000,Daily; 3–5 min boat ride from French Harbour,"TripAdvisor's #1-ranked attraction in Roatan. Private island paradise with white sand, in-water palapa tables, a mini zoo, snorkeling, and the underwater Mayatlantis museum. Zero carbon footprint — wind power, rainwater collection. From $118 including lunch, drinks, and transport.",
b131,Macaw Container Market,shop,Market,French Harbour,$,YES,active,yes,"Vibrant shopping village built from recycled shipping containers, 200m east of the airport. Locally made crafts, a brewery, chocolate factory, coffee shop, restaurants, and a liquor store — all supporting Honduran artisans. Free admission, unique vibe.",yes,yes,no,yes,16.3200,-86.5235,4.0,7,Daily 9am–10pm,"Vibrant shopping village built from recycled shipping containers, 200m east of the airport. Locally made crafts, a brewery, chocolate factory, coffee shop, restaurants, and a liquor store — all supporting Honduran artisans. Free admission, unique vibe.",
b120,Mangrove Kayak Tours,tours,Kayak Tour,Oak Ridge,$,no,active,yes,"Guided kayak tours through the magical mangrove tunnels of Oak Ridge, Roatan's 'Venice.' Paddle past stilt houses, spot incredible birdlife, and explore untouched waterways. Life jackets and snorkel gear included. A peaceful adventure off the tourist trail.",yes,no,no,no,16.3800,-86.3700,4.5,100,Daily by arrangement; 3–5 hour tours,"Guided kayak tours through the magical mangrove tunnels of Oak Ridge, Roatan's 'Venice.' Paddle past stilt houses, spot incredible birdlife, and explore untouched waterways. Life jackets and snorkel gear included. A peaceful adventure off the tourist trail.",
b020,Naboo Restaurant,eat,Caribbean Fusion,West Bay,$$,no,active,yes,"Refined Caribbean fusion at this adults-only West Bay resort restaurant. Exquisite local cuisine, fresh seafood, and tropical garden ambiance with stunning ocean views. Surprisingly reasonable prices for the quality and setting.",yes,no,no,no,16.2795,-86.5960,4.8,139,Daily 7am–8:30pm,"Refined Caribbean fusion at this adults-only West Bay resort restaurant. Exquisite local cuisine, fresh seafood, and tropical garden ambiance with stunning ocean views. Surprisingly reasonable prices for the quality and setting.",
b007,Pazzo Italian Restaurant,eat,Italian,West End,$$,no,active,yes,"Tiny 25-seat Italian bistro where Chef Gianni handmakes every pasta dish to order. BYOB, reservations required 2+ weeks in advance — and absolutely worth the planning. Bruschetta and lasagna are the stuff of Roatan legend.",yes,no,no,no,16.3075,-86.5535,4.8,250,Mon–Fri 5:30pm–9pm; Closed Sat & Sun,"Tiny 25-seat Italian bistro where Chef Gianni handmakes every pasta dish to order. BYOB, reservations required 2+ weeks in advance — and absolutely worth the planning. Bruschetta and lasagna are the stuff of Roatan legend.",
b123,Punta Gorda Cultural Tour,tours,Cultural Tour,Punta Gorda,$,no,active,yes,"Authentic Garifuna cultural experience in Honduras' oldest village, founded 1797. Traditional punta drumming, local cuisine (Machuca, yucca bread), and Guifity herbal beverages. UNESCO-recognized heritage brought to life by the community that keeps it alive.",yes,no,no,no,16.3500,-86.4000,4.5,50,Daily; book ahead,"Authentic Garifuna cultural experience in Honduras' oldest village, founded 1797. Traditional punta drumming, local cuisine (Machuca, yucca bread), and Guifity herbal beverages. UNESCO-recognized heritage brought to life by the community that keeps it alive.",
b176,Reef Rider Jet Ski Rentals,rentals,Jet Ski,West Bay,$$,no,active,yes,"Jet ski rentals on West Bay Beach — $85 for 30 minutes, accommodates 2 riders. Guided tours and free-ride options with Yamaha jet skis. Fuel, insurance, and life jackets included. Minimum age 6 (passenger), 14 (driver with parent).",yes,no,no,no,16.2775,-86.5975,4.5,50,Daily daylight hours,"Jet ski rentals on West Bay Beach — $85 for 30 minutes, accommodates 2 riders. Guided tours and free-ride options with Yamaha jet skis. Fuel, insurance, and life jackets included. Minimum age 6 (passenger), 14 (driver with parent).",
b163,Roatan Backpackers' Hostel,stay,Hostel,Sandy Bay,$,no,active,yes,"Sandy Bay hostel with dorms from $18/night, private rooms, a pool with waterfall, and communal kitchen. Near Anthony's Key dolphins and botanical gardens. Owner Mel makes everyone feel at home. The social hub for budget travelers on Roatan.",yes,no,no,no,16.3180,-86.5680,4.0,426,24/7,"Sandy Bay hostel with dorms from $18/night, private rooms, a pool with waterfall, and communal kitchen. Near Anthony's Key dolphins and botanical gardens. Owner Mel makes everyone feel at home. The social hub for budget travelers on Roatan.",
b067,Roatan Divers,dive,Dive Shop,West End,$$,YES,active,yes,"Multi-award-winning PADI 5-Star IDC Eco Center with a fleet of 4 fast custom boats and private docks. Boutique diving focused on small groups, personalized service, and environmental responsibility. The gold standard for Roatan diving.",yes,yes,no,no,16.3055,-86.5895,5.0,500,Daily,"Multi-award-winning PADI 5-Star IDC Eco Center with a fleet of 4 fast custom boats and private docks. Boutique diving focused on small groups, personalized service, and environmental responsibility. The gold standard for Roatan diving.",
b179,Roatan Ferry Terminal (Galaxy Wave),transport,Ferry,Dixon Cove,$,YES,active,yes,"Ferry service connecting Roatan to La Ceiba on the mainland via the Galaxy Wave — a 152-foot catamaran carrying 460 passengers. 75-minute crossing, modern Easy Ticket kiosks, free parking, and cafeteria onboard. Your gateway to the mainland.",yes,no,no,yes,16.3300,-86.5400,,,La Ceiba→Roatan 9:30am & 4:30pm; Roatan→La Ceiba 7am & 2pm,"Ferry service connecting Roatan to La Ceiba on the mainland via the Galaxy Wave — a 152-foot catamaran carrying 460 passengers. 75-minute crossing, modern Easy Ticket kiosks, free parking, and cafeteria onboard. Your gateway to the mainland.",
b003,Roatan Oasis,eat,Fine Dining,West End,$$$,YES,active,yes,"Top-rated fine dining in West End with an internationally inspired, ever-changing menu. Steaks, fresh-caught seafood, and the island's largest craft beer selection. Stunning sunset views — reserve ahead, this intimate gem fills up fast.",yes,yes,no,no,16.3080,-86.5530,4.8,1104,Tue–Fri 5:30pm–8pm; Reservations required,"Top-rated fine dining in West End with an internationally inspired, ever-changing menu. Steaks, fresh-caught seafood, and the island's largest craft beer selection. Stunning sunset views — reserve ahead, this intimate gem fills up fast.",
b173,Roatan PaddleSports Rentals,rentals,Kayak Rental,West End,$,no,active,yes,"Paddleboard and kayak rentals from the West End waterfront at Half Moon Bay. Hourly, daily, weekly, and monthly rates. Professional instruction available. Two locations — the easiest way to get on the water and explore the coastline.",yes,no,no,no,16.3060,-86.5890,4.5,100,Daily,"Paddleboard and kayak rentals from the West End waterfront at Half Moon Bay. Hourly, daily, weekly, and monthly rates. Professional instruction available. Two locations — the easiest way to get on the water and explore the coastline.",
b119,Roatan Rum Company,tours,Food Tour,West Bay,$,no,active,yes,Craft rum distillery between West End and West Bay with free tastings and rum cake samples. The 'Blendatorium' lets you create your own custom rum from 50+ natural extracts ($29–$39). Caribbean Sea views and a fusion bar. A must-stop.,yes,no,no,no,16.2850,-86.5930,4.5,300,Mon–Fri 9am–5pm,Craft rum distillery between West End and West Bay with free tastings and rum cake samples. The 'Blendatorium' lets you create your own custom rum from 50+ natural extracts ($29–$39). Caribbean Sea views and a fusion bar. A must-stop.,
b034,Romeo's Restaurant,eat,Italian,French Harbour,$$,no,active,yes,"Elegant waterfront Italian dining in French Harbour since 1978. Wood-fired pizza from a proper oven, USDA choice steaks, a fresh herb garden, and an excellent wine list. One of Roatan's oldest and most respected restaurants.",yes,no,no,no,16.3340,-86.5160,4.5,168,Mon–Sat lunch & dinner,"Elegant waterfront Italian dining in French Harbour since 1978. Wood-fired pizza from a proper oven, USDA choice steaks, a fresh herb garden, and an excellent wine list. One of Roatan's oldest and most respected restaurants.",
b099,Roots Reggae Bar,nightlife,Reggae Bar,West End,$,no,active,yes,"Authentic reggae bar in West End with Garifuna music, local DJs, and a true Caribbean groove. No cover, cold beers, and a dance floor that feels like the real island. Come for the music, stay for the vibe.",yes,no,no,no,16.3094,-86.5516,,,Nightly,"Authentic reggae bar in West End with Garifuna music, local DJs, and a true Caribbean groove. No cover, cold beers, and a dance floor that feels like the real island. Come for the music, stay for the vibe.",
b116,Ruthless Roatan Charters,tours,Fishing,West End,$$,no,active,yes,"Deep sea and reef fishing charters from Half Moon Bay — blue marlin, sailfish, mahi-mahi, and wahoo. All trips include catered appetizers, cold beverages, and fresh tuna sashimi if caught. Vintage luxury boats with shade and indoor seating.",yes,no,no,no,16.3060,-86.5890,4.8,379,"Sunrise, sunset, and full-day trips","Deep sea and reef fishing charters from Half Moon Bay — blue marlin, sailfish, mahi-mahi, and wahoo. All trips include catered appetizers, cold beverages, and fresh tuna sashimi if caught. Vintage luxury boats with shade and indoor seating.",
b053,San Simon Beach Club,drink,Beach Bar,West Bay,$$$,no,active,yes,"West Bay's most exclusive beach club with beachside bars, fusion cuisine, lounging beds, and Roatan's premier wedding venue. Barefoot luxury on white sand with genius cocktails and the Caribbean at your feet. Day passes available.",yes,no,no,no,16.2765,-86.5985,4.2,84,Daily; day passes available,"West Bay's most exclusive beach club with beachside bars, fusion cuisine, lounging beds, and Roatan's premier wedding venue. Barefoot luxury on white sand with genius cocktails and the Caribbean at your feet. Day passes available.",
b012,Sandy Buns Bakery,eat,Cafe,West End,$,YES,active,yes,"Voted #1 restaurant in West End by locals. Famous cinnamon rolls, Texas-style smoked brisket, and freshly baked breads by a former Texas couple. Gluten-free options with a dedicated fryer. Breakfast and lunch only — get there early.",yes,yes,no,no,16.3065,-86.5895,4.7,368,Daily 8am–3pm,"Voted #1 restaurant in West End by locals. Famous cinnamon rolls, Texas-style smoked brisket, and freshly baked breads by a former Texas couple. Gluten-free options with a dedicated fryer. Breakfast and lunch only — get there early.",
b114,South Shore Canopy Zipline,tours,Zipline,West Bay,$$,no,active,yes,"Adrenaline-pumping zipline park with 11 cables, 12 platforms, and a 1,300-foot longest line across 28 acres of eco-park. Speeds up to 40 mph, 100 feet above the canopy. 45-minute guided tours with cultural narration. $65–$115.",yes,no,no,no,16.2820,-86.5940,4.5,1023,Daily 8am–3:30pm,"Adrenaline-pumping zipline park with 11 cables, 12 platforms, and a 1,300-foot longest line across 28 acres of eco-park. Speeds up to 40 mph, 100 feet above the canopy. 45-minute guided tours with cultural narration. $65–$115.",
b068,Sun Divers Roatan,dive,Dive Shop,West End,$$,no,active,yes,"Roatan's first-ever PADI Eco Center, run by husband-wife team Shannon and Natalie. Concierge-style service, active coral restoration programs, and a deep commitment to reef conservation. Diving with a purpose on the Mesoamerican Barrier Reef.",yes,no,no,no,16.3058,-86.5892,5.0,300,Daily,"Roatan's first-ever PADI Eco Center, run by husband-wife team Shannon and Natalie. Concierge-style service, active coral restoration programs, and a deep commitment to reef conservation. Diving with a purpose on the Mesoamerican Barrier Reef.",
b001,Sundowners Bar & Grill,eat,Seafood,West End,$$,YES,active,yes,"Iconic West End waterfront restaurant and bar on Half Moon Bay Beach. Fresh seafood, Caribbean favorites, famous Monkey La La cocktails, and the best sunset views on Roatan. Live music Tue & Fri nights.",yes,yes,no,no,16.3066,-86.5926,4.5,1562,Daily 7am–10pm; Happy Hour 5–7pm,"Iconic West End waterfront restaurant and bar on Half Moon Bay Beach. Fresh seafood, Caribbean favorites, famous Monkey La La cocktails, and the best sunset views on Roatan. Live music Tue & Fri nights.",
b041,Sundowners Beach Bar,drink,Beach Bar,West End,$,YES,active,yes,"The beating heart of West End nightlife, right on Half Moon Bay Beach. Cold Salva Vidas, tropical cocktails, and Roatan's best sunset — this is where every night out on the island begins. Live music, good vibes, sandy toes.",yes,no,no,no,16.3066,-86.5926,4.6,1562,Daily 11am–10pm; Happy Hour 5–7pm,"The beating heart of West End nightlife, right on Half Moon Bay Beach. Cold Salva Vidas, tropical cocktails, and Roatan's best sunset — this is where every night out on the island begins. Live music, good vibes, sandy toes.",
b092,Sundowners Live Music Nights,nightlife,Live Music,West End,$,no,active,yes,"Sundowners transforms into the island's best live music venue on Tuesday and Friday nights. Local bands, barefoot dancing on the beach, and a sunset backdrop that no concert hall can match. The soundtrack of Roatan.",yes,no,no,no,16.3066,-86.5926,4.6,1562,Live music Tue & Fri nights,"Sundowners transforms into the island's best live music venue on Tuesday and Friday nights. Local bands, barefoot dancing on the beach, and a sunset backdrop that no concert hall can match. The soundtrack of Roatan.",
b192,Tabyana Beach,beaches,Beach Club,West Bay,$$,no,active,yes,"Rated among the best beaches in the Caribbean with the reef just 70 feet from shore. White sand, crystal-clear water, excellent snorkeling, kayaking, and banana boats. Organized chairs, umbrellas, restrooms, and a restaurant. Popular cruise excursion destination.",yes,no,no,no,16.2760,-86.5970,4.5,1000,Daily; lounge chair rentals available,"Rated among the best beaches in the Caribbean with the reef just 70 feet from shore. White sand, crystal-clear water, excellent snorkeling, kayaking, and banana boats. Organized chairs, umbrellas, restrooms, and a restaurant. Popular cruise excursion destination.",
b044,Tequila Jacks,drink,Cocktail Bar,West End,$$,no,active,yes,"Craft cocktails, tequila flights, and handmade mojitos at the Brisas del Mar hotel pool bar. Friday night bingo, live bands, and their famous Monkey La La keep the crowd coming back. West End's hottest new gathering spot.",yes,no,no,no,16.3093,-86.5517,,,"Daily; Happy Hour, Fri bingo, live bands","Craft cocktails, tequila flights, and handmade mojitos at the Brisas del Mar hotel pool bar. Friday night bingo, live bands, and their famous Monkey La La keep the crowd coming back. West End's hottest new gathering spot.",
b156,The Beach House,stay,Hotel,West End,$$,no,active,yes,"Intimate 14-room beachfront boutique hotel considered the best place to stay in West End. Overlooking Half Moon Bay with AC suites, daily made-to-order breakfast, and the acclaimed Mila del Mar restaurant downstairs. From $237/night.",yes,no,no,no,16.3060,-86.5900,4.0,577,24/7,"Intimate 14-room beachfront boutique hotel considered the best place to stay in West End. Overlooking Half Moon Bay with AC suites, daily made-to-order breakfast, and the acclaimed Mila del Mar restaurant downstairs. From $237/night.",
b019,Thirsty Turtle,eat,Pizza,West Bay,$$,YES,active,yes,"Lively beachfront bar and restaurant at Bananarama on West Bay Beach. Wood-fired brick oven pizza, sunset cocktails, and nightly entertainment — karaoke, trivia, crab races, and fire dancers. The fun never stops at the Turtle.",yes,no,no,no,16.2780,-86.5970,4.2,1366,"Daily breakfast, lunch, dinner; Happy Hour 4–6pm","Lively beachfront bar and restaurant at Bananarama on West Bay Beach. Wood-fired brick oven pizza, sunset cocktails, and nightly entertainment — karaoke, trivia, crab races, and fire dancers. The fun never stops at the Turtle.",
b132,Town Center at Port of Roatan,shop,Shopping Center,Coxen Hole,$$,no,active,yes,"Duty-free shopping mall at the Port of Roatan cruise terminal. Jewelry, cigars, chocolate, souvenirs, and local artisan gifts spread across 6.5 acres. Serves 580,000+ cruise passengers annually — your first taste of the island.",yes,no,no,no,16.3240,-86.5350,,,Open with cruise ship schedules,"Duty-free shopping mall at the Port of Roatan cruise terminal. Jewelry, cigars, chocolate, souvenirs, and local artisan gifts spread across 6.5 acres. Serves 580,000+ cruise passengers annually — your first taste of the island.",
b158,Tranquilseas Eco Lodge & Dive Center,stay,Eco Lodge,Sandy Bay,$$,no,active,yes,"Ranked #1 eco lodge on Roatan with a 9.3/10 on Booking.com. PADI dive resort in Sandy Bay with The Sunken Fish restaurant, outdoor pool, and the friendliest staff on the island. Peaceful, personal, sustainable. From $170/night.",yes,no,no,no,16.3200,-86.5650,4.5,500,Front desk 8:30am–6:30pm,"Ranked #1 eco lodge on Roatan with a 9.3/10 on Booking.com. PADI dive resort in Sandy Bay with The Sunken Fish restaurant, outdoor pool, and the friendliest staff on the island. Peaceful, personal, sustainable. From $170/night.",
b025,Vintage Pearl,eat,Fine Dining,West Bay,$$$,no,active,yes,French-Caribbean fine dining at Bananarama Resort with the island's largest wine cellar — a 6-page list. Walk barefoot down a tiki-lit sandy path to a candlelit table. The Sunday brunch is legendary. Worth every lempira.,yes,no,no,no,16.2775,-86.5975,4.5,928,Dinner nightly; Sunday brunch; Reservations recommended,French-Caribbean fine dining at Bananarama Resort with the island's largest wine cellar — a 6-page list. Walk barefoot down a tiki-lit sandy path to a candlelit table. The Sunday brunch is legendary. Worth every lempira.,
b134,Waves of Art,shop,Art Gallery,West End,$,no,active,yes,"Eye-catching folk art gallery in West End supporting fair trade organizations and local artisan co-ops. Custom framing, watercolors, fine art, and unique handmade gifts. Colorful, curated, and deeply connected to Roatan's creative community.",yes,no,no,no,16.3090,-86.5520,4.5,50,Mon–Sat,"Eye-catching folk art gallery in West End supporting fair trade organizations and local artisan co-ops. Custom framing, watercolors, fine art, and unique handmade gifts. Colorful, curated, and deeply connected to Roatan's creative community.",
b189,West Bay Beach,beaches,Public Beach,West Bay,$,YES,active,yes,"Roatan's most famous beach — #1 in Central America and ranked 9th globally. Powdery white sand, crystal-clear turquoise water, and the Mesoamerican Barrier Reef just offshore. Restaurants, bars, water sports, and loungers line the shore. The Caribbean dream, realized.",yes,yes,no,yes,16.2770,-86.5980,4.8,5000,Open 24/7; dawn–dusk recommended,"Roatan's most famous beach — #1 in Central America and ranked 9th globally. Powdery white sand, crystal-clear turquoise water, and the Mesoamerican Barrier Reef just offshore. Restaurants, bars, water sports, and loungers line the shore. The Caribbean dream, realized.",
b097,West Bay Beach Bonfire,nightlife,Beach Party,West Bay,$,no,active,yes,"Beach bonfire nights on West Bay Beach with fire dancers, acoustic music, and dancing under the stars. Lobster bakes and BBQ beside crackling flames on white sand. The kind of night you came to the Caribbean for.",yes,no,no,no,16.2775,-86.5975,,,Regular evenings; check locally,"Beach bonfire nights on West Bay Beach with fire dancers, acoustic music, and dancing under the stars. Lobster bakes and BBQ beside crackling flames on white sand. The kind of night you came to the Caribbean for.",
b074,West Bay Divers,dive,Dive Shop,West Bay,$$,no,active,yes,"PADI 5-Star Dive Center with two locations right on West Bay Beach. 100+ years combined staff experience, 15 PADI specialty courses, and direct access to the world's second-largest barrier reef. Perfect for beginners and pros alike.",yes,no,no,no,16.2770,-86.5975,4.8,944,"Daily; 2-tank trip 9am, 1-tank trip 2pm","PADI 5-Star Dive Center with two locations right on West Bay Beach. 100+ years combined staff experience, 15 PADI specialty courses, and direct access to the world's second-largest barrier reef. Perfect for beginners and pros alike.",
b180,West Bay Water Taxi,transport,Water Taxi,West End,$,no,active,yes,"Water taxi between West End and West Bay Beach — a scenic 10-minute ride through the lagoon for about $3. The fun, fast alternative to the road. Minimum 3 passengers per trip. Catch one at Infinity Bay or Foster's dock.",yes,no,no,no,16.3060,-86.5890,,,Daily ~7am–sunset; ~60 Lps ($3) daytime,"Water taxi between West End and West Bay Beach — a scenic 10-minute ride through the lagoon for about $3. The fun, fast alternative to the road. Minimum 3 passengers per trip. Catch one at Infinity Bay or Foster's dock.",
b191,West End Beach,beaches,Public Beach,West End,$,no,active,yes,"Mile-long relaxed beach along the West End strip, popular with backpackers and divers. Budget accommodations, dive shops, and bars line the shore. Reef close enough to swim to. The laid-back, no-frills side of Roatan's main tourist village.",yes,no,no,no,16.3080,-86.5510,4.0,200,Open 24/7,"Mile-long relaxed beach along the West End strip, popular with backpackers and divers. Budget accommodations, dive shops, and bars line the shore. Reef close enough to swim to. The laid-back, no-frills side of Roatan's main tourist village.",
b069,West End Divers,dive,Dive Shop,West End,$$,no,active,yes,"The longest continuously operating dive shop in West End — a PADI 5-Star Dive Center since 1991. The only shop offering blackwater dive service on Roatan. Spacious boats, well-maintained gear, and decades of reef knowledge.",yes,no,no,no,16.3062,-86.5888,4.8,400,Daily,"The longest continuously operating dive shop in West End — a PADI 5-Star Dive Center since 1991. The only shop offering blackwater dive service on Roatan. Spacious boats, well-maintained gear, and decades of reef knowledge.",
b136,Wild Roatan,shop,Gift Shop,West End,$$,no,active,yes,"Conservation-focused West End shop selling eco-friendly clothing, reef-safe sunscreen, batana oil, natural soaps, and island-branded gear. Proceeds fund wildlife conservation and beach cleanup projects. Shop with purpose.",yes,no,no,no,16.3088,-86.5518,,,Daily,"Conservation-focused West End shop selling eco-friendly clothing, reef-safe sunscreen, batana oil, natural soaps, and island-branded gear. Proceeds fund wildlife conservation and beach cleanup projects. Shop with purpose.",
